ID Instância;Tempo (s);F.O.;Pares Estratégicos;Média L1;Média L2;Média L-inf;Menor L1;Menor L2;Menor L-inf
1;2,02;-0,0;OK;4,74;3,8;3,44;2,0;2,0;2,0
2;3,9;-0,0;OK;4,61;3,66;3,25;2,0;2,0;2,0
3;3,21;-0,0;OK;5,2;4,07;3,57;2,0;2,0;2,0
4;1,7;-0,0;OK;5,31;4,19;3,69;2,0;2,0;2,0
5;3,15;-0,0;OK;5,06;4,04;3,66;2,0;2,0;2,0
6;0,11;;N/A;;;;;;
7;4,26;-0,0;OK;4,42;3,53;3,15;2,0;2,0;2,0
8;7,82;-0,0;OK;5,5;4,53;4,17;2,0;2,0;2,0
9;2,95;-0,0;OK;4,33;3,44;3,11;2,0;2,0;2,0
10;15,9;-0,0;OK;5,16;4,29;3,9;2,0;2,0;2,0
11;14,97;-0,0;OK;4,81;3,78;3,34;2,0;2,0;2,0
12;96,38;-0,0;OK;5,01;3,85;3,34;2,0;2,0;2,0
13;42,11;-0,0;OK;5,39;4,28;3,84;2,0;2,0;2,0
14;29,74;-0,0;OK;4,96;3,8;3,28;2,0;2,0;2,0
15;258,95;-0,0;OK;4,16;3,31;2,91;2,0;2,0;2,0
16;300,09;-161347,0;OK;5,08;4,01;3,55;2,0;2,0;2,0
17;178,37;-0,0;OK;5,32;4,19;3,69;2,0;2,0;2,0
18;156,22;-0,0;OK;4,77;3,8;3,39;2,0;2,0;2,0
19;65,05;-0,0;OK;4,69;3,71;3,31;2,0;2,0;2,0
20;300,66;-200836,0;OK;5,13;4,08;3,58;2,0;2,0;2,0
21;19,85;-0,0;OK;5,03;3,95;3,49;2,0;2,0;2,0
22;11,02;-0,0;OK;5,03;4,11;3,77;2,0;2,0;2,0
23;34,33;-0,0;OK;4,71;3,77;3,33;2,0;2,0;2,0
24;2,58;-0,0;OK;4,54;3,59;3,17;2,0;2,0;2,0
25;5,14;-0,0;OK;4,26;3,37;2,92;2,0;2,0;2,0
26;60,29;-0,0;OK;5,4;4,55;4,29;2,0;2,0;2,0
27;0,35;;N/A;;;;;;
28;19,82;-0,0;OK;5,36;4,24;3,81;2,0;2,0;2,0
29;7,36;-0,0;OK;4,93;3,96;3,57;2,0;2,0;2,0
30;3,91;-0,0;OK;4,82;3,77;3,34;2,0;2,0;2,0
